MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
60,100,13000,6,6,576,1182,960,2142,2,1,4,1,8,1,1,509,0,72,193500
120,32,4500,6,5,443,1337,0,1337,2,0,2,1,5,0,2,405,0,199,153500
20,78,10206,8,5,468,1563,0,1563,2,0,3,1,6,1,3,758,144,99,245000
20,80,8892,5,5,66,1065,0,1065,1,1,3,1,6,0,2,461,74,0,126500
80,NA,8530,7,5,22,804,670,1474,2,1,3,1,7,1,2,400,120,72,168500
60,121,16059,8,5,284,1301,1116,2417,2,1,4,1,9,1,2,462,127,82,260000
60,122,11911,6,5,0,684,876,1560,2,1,3,1,6,1,2,400,100,38,174000
160,40,3951,6,5,76,612,612,1224,2,1,2,1,4,0,2,528,0,234,164500
50,105,8470,3,2,0,1013,0,1526,1,0,2,1,6,0,0,0,0,0,85000
20,60,8070,4,5,0,990,0,990,1,0,3,1,5,0,0,0,0,0,123600
20,60,7200,4,5,0,1040,0,1040,1,0,2,1,4,0,2,420,0,29,109900
20,85,8500,5,3,203,1235,0,1235,1,0,2,1,6,0,2,480,0,0,98600
30,80,13360,5,7,0,964,0,964,1,0,2,1,5,0,2,432,0,0,163500
190,60,7200,6,6,0,1260,1031,2291,2,0,4,2,9,1,2,506,0,0,133900
60,69,9337,6,5,0,905,881,1786,2,1,3,1,7,0,2,684,0,162,204750
60,NA,9765,6,8,68,680,790,1470,2,1,3,1,6,1,2,420,232,63,185000
20,78,10264,7,5,183,1588,0,1588,2,0,3,1,6,0,2,472,158,29,214000
20,73,10921,4,5,48,960,0,960,1,0,3,1,6,0,1,432,120,0,94750
30,85,10625,5,5,0,835,0,835,1,0,2,1,5,0,1,366,0,0,83000
20,77,9320,4,5,0,1225,0,1225,1,1,3,1,6,0,0,0,352,0,128950
20,NA,10603,6,7,28,1610,0,1610,2,0,3,1,6,2,2,480,168,68,205000
60,77,9206,6,5,336,977,755,1732,2,1,3,1,7,1,2,476,192,46,178000
90,64,7018,5,5,0,1535,0,1535,2,0,4,2,8,0,2,410,0,0,118964
20,94,10402,7,5,0,1226,0,1226,2,0,3,1,6,0,3,740,0,36,198900
50,NA,7758,7,4,600,1226,592,1818,1,1,4,1,7,2,1,240,0,0,169500
60,75,9375,8,5,768,1053,939,1992,2,1,3,1,9,1,2,648,140,45,250000
30,60,10800,4,7,0,1047,0,1047,1,0,2,1,6,0,1,273,0,0,100000
20,50,6000,5,5,0,789,0,789,1,0,2,1,5,0,1,250,0,0,115000
50,85,8500,5,7,0,997,520,1517,2,0,3,1,7,0,0,0,0,0,115000
20,105,11751,6,6,480,1844,0,1844,2,0,3,1,7,1,2,546,0,122,190000
50,75,9525,6,4,0,1216,639,1855,2,0,4,1,7,0,1,325,182,0,136900
80,NA,7750,7,5,0,774,656,1430,2,1,3,1,7,1,2,400,180,0,180000
60,77,9965,7,5,220,1282,1414,2696,2,1,4,1,10,1,3,792,120,184,383970
20,NA,21000,6,5,184,2259,0,2259,2,0,3,1,7,2,2,450,166,120,217000
70,61,7259,6,8,0,1436,884,2320,2,1,3,1,9,1,1,180,224,0,259500
160,34,3230,6,5,1129,729,729,1458,2,1,2,1,5,1,2,440,0,32,176000
20,NA,11616,5,5,116,1092,0,1092,1,0,3,1,6,1,1,288,0,20,139000
20,74,8536,5,5,0,1125,0,1125,1,1,2,1,5,0,2,430,80,64,155000
60,90,12376,7,5,0,1699,1523,3222,3,0,5,1,11,2,3,594,367,0,320000
60,65,8461,6,5,0,728,728,1456,2,1,3,1,8,1,2,390,0,24,163990
80,NA,21453,6,5,0,988,0,988,1,0,1,1,4,2,2,540,0,130,180000
50,50,6060,4,5,0,772,351,1123,1,0,3,1,4,0,1,264,0,0,100000
20,75,9464,6,7,135,1080,0,1080,1,0,3,1,5,0,1,288,0,0,136000
120,55,7892,6,5,0,1199,0,1199,2,0,2,1,5,0,2,530,0,63,153900
20,48,17043,6,5,0,1586,0,1586,2,0,3,1,7,1,2,435,192,0,181000
190,60,6780,6,8,0,520,0,754,1,0,2,1,5,0,0,0,53,0,84500
120,NA,4928,6,5,0,958,0,958,2,0,2,1,5,1,2,440,0,205,128000
45,55,4388,5,7,0,840,0,840,1,0,3,1,5,1,0,0,0,0,87000
60,69,7590,6,5,266,660,688,1348,1,1,3,1,6,1,2,453,188,108,155000
20,69,8973,5,7,85,1053,0,1053,1,1,3,1,6,0,2,750,0,80,150000
60,88,14200,7,6,309,1216,941,2157,2,1,4,1,8,2,2,487,105,66,226000
60,NA,12224,6,5,40,1022,1032,2054,2,1,3,1,7,1,2,390,24,48,244000
20,75,7388,5,6,0,1327,0,1327,1,0,3,1,7,0,2,624,0,0,150750
20,NA,6853,8,5,136,1296,0,1296,2,0,2,1,6,0,2,471,192,25,220000
20,78,10335,5,6,0,1721,0,1721,2,1,3,1,7,1,2,440,0,96,180000
20,80,10400,7,6,288,1682,0,1682,2,0,3,1,7,1,2,530,98,0,174000
20,NA,10355,5,5,196,1214,0,1214,2,0,3,1,5,1,1,318,0,111,143000
90,82,11070,7,5,70,1959,0,1959,3,0,5,2,9,0,3,766,0,0,171000
60,73,9066,8,5,320,1004,848,1852,2,1,3,1,7,2,3,660,224,106,230000
60,65,15426,6,5,0,928,836,1764,2,1,3,1,7,0,2,470,276,99,231500
20,70,10500,4,5,0,864,0,864,1,0,3,1,5,1,0,0,0,0,115000
20,78,11645,7,5,0,1734,0,1734,2,0,3,1,7,0,2,660,160,24,260000
50,71,8520,5,4,0,910,475,1385,2,0,4,1,6,0,2,720,0,0,166000
20,78,10335,7,5,183,1501,0,1501,2,0,3,1,6,0,2,577,144,29,204000
90,70,9100,5,5,336,1728,0,1728,2,0,6,2,10,0,2,504,0,0,125000
160,24,2522,6,5,50,970,739,1709,2,0,3,1,7,0,2,380,0,40,130000
30,51,6120,5,7,0,875,0,875,1,0,2,1,5,0,1,180,48,0,105000
60,NA,9505,7,5,180,884,1151,2035,2,1,3,1,8,1,2,434,144,48,222500
20,63,7500,7,5,120,1080,0,1080,1,0,3,1,6,0,0,0,0,0,141000
50,NA,6240,5,4,0,896,448,1344,1,0,3,1,7,0,1,240,200,114,115000
20,120,10356,5,6,0,969,0,969,1,1,3,1,5,0,2,440,0,0,122000
20,107,13891,8,5,436,1710,0,1710,2,0,2,1,6,1,3,866,0,102,372402
60,NA,14803,6,5,252,1097,896,1993,2,1,4,1,8,1,2,495,0,66,190000
20,NA,13500,6,7,0,1252,0,1252,1,0,1,1,4,1,2,564,409,0,235000
30,84,11340,6,5,0,1200,0,1200,1,0,4,1,7,0,1,312,0,0,125000
50,60,9600,6,5,0,572,524,1096,1,0,2,1,5,0,0,0,0,8,79000
20,60,7200,5,7,0,1040,0,1040,1,0,2,1,5,0,2,625,0,0,109500
60,92,12003,8,5,84,774,1194,1968,2,1,4,1,8,1,3,680,0,75,269500
60,100,12552,7,5,0,991,956,1947,2,1,3,1,8,1,2,678,0,136,254900
60,134,19378,7,5,456,1392,1070,2462,2,1,4,1,9,1,2,576,239,132,320000
20,NA,11120,6,6,0,1232,0,1232,2,0,3,1,6,0,2,516,0,0,162500
60,110,13688,9,5,664,1572,1096,2668,2,1,3,1,10,2,3,726,400,0,412500
20,95,12182,7,5,226,1541,0,1541,2,0,3,1,7,1,2,532,0,70,220000
45,55,5500,4,6,0,882,0,882,1,0,1,1,4,0,0,0,0,0,103200
40,40,5400,6,7,0,1149,467,1616,2,0,3,1,5,0,1,216,0,0,152000
190,62,10106,5,7,0,808,547,1355,2,0,4,2,6,0,0,0,140,0,127500
20,NA,10708,5,5,0,1867,0,1867,1,0,2,1,7,3,1,303,476,0,190000
60,86,10562,8,5,300,1610,551,2161,1,1,3,1,8,1,3,789,178,120,325624
60,62,8244,7,5,0,840,880,1720,2,1,3,1,7,1,2,440,100,48,183500
20,NA,16669,8,6,653,1707,0,1707,2,1,2,1,6,1,2,511,574,64,228000
50,NA,12358,5,6,0,854,0,1382,1,1,2,1,7,0,2,660,237,0,128500
20,141,31770,6,5,112,1656,0,1656,1,0,3,1,7,2,2,528,210,62,215000
160,44,5306,7,7,0,1064,703,1767,2,0,2,1,5,1,2,504,441,35,239000
20,80,10197,6,5,491,1362,0,1362,1,1,3,1,6,1,2,504,0,20,163000
20,47,12416,6,5,132,1651,0,1651,2,0,3,1,7,1,2,616,192,0,184000
20,84,12615,6,7,0,2158,0,2158,2,0,4,1,7,1,2,576,0,29,243000
60,97,10029,6,5,268,1164,896,2060,2,1,4,1,8,1,2,521,0,228,211000
50,NA,13650,5,5,0,1252,668,1920,2,0,4,1,8,1,2,451,0,0,172500
20,63,17423,9,5,748,2234,0,2234,2,0,1,1,9,1,3,1166,0,60,501837
30,60,8520,5,6,0,968,0,968,1,0,2,1,5,0,2,480,0,0,100000
160,NA,2117,6,5,456,769,756,1525,2,1,3,1,5,1,2,440,0,0,177000
70,54,7588,7,6,0,901,901,1802,1,1,4,1,9,1,1,216,0,0,200100
20,60,9060,5,6,98,1340,0,1340,1,0,3,1,7,1,1,252,116,0,120000
50,63,11426,7,5,0,1362,720,2082,2,1,3,1,6,0,2,484,280,238,200000
50,92,7438,5,8,0,936,316,1252,1,0,3,1,5,0,2,576,104,0,127000
75,90,22950,10,9,0,1518,1518,3608,2,1,4,1,12,2,3,840,0,260,475000
80,NA,9947,7,5,0,1217,0,1217,2,0,3,1,6,0,2,497,168,27,173000
50,60,10410,5,7,0,808,704,1656,2,1,3,1,8,0,1,180,0,0,135000
90,64,7018,5,5,275,1224,0,1224,0,2,2,2,6,2,2,528,120,0,153337
120,41,4923,8,5,0,1593,0,1593,1,1,0,1,5,1,2,682,0,120,286000
70,70,10570,8,8,0,1549,1178,2727,2,1,3,1,10,2,2,440,0,74,315000
60,NA,7472,7,9,138,725,754,1479,1,1,4,1,7,0,2,484,0,32,184000
20,68,9017,7,5,0,1431,0,1431,2,0,3,1,6,0,2,666,0,35,192000
160,24,2522,7,5,50,970,739,1709,2,0,3,1,7,0,2,380,0,40,130000
20,60,7180,5,7,0,864,0,864,1,0,3,1,5,0,1,352,0,0,127000
160,24,2280,6,6,0,855,601,1456,2,1,3,1,7,1,2,440,87,0,148500
20,79,9416,7,5,205,1726,0,1726,2,0,3,1,8,1,3,786,171,138,311872
75,174,25419,8,4,0,1360,1360,3112,2,0,4,1,8,1,2,795,0,16,235000
75,92,5520,6,6,0,929,929,2229,1,0,5,1,8,0,0,0,0,198,104000
20,76,9591,8,5,262,1713,0,1713,2,0,3,1,7,1,3,856,0,26,274900
20,80,8546,4,5,0,1121,0,1121,2,0,2,1,5,0,2,440,132,64,140000
20,75,10125,6,6,0,1279,0,1279,2,0,3,1,6,2,2,473,238,83,171500
50,50,7000,6,6,0,865,445,1310,2,0,2,1,6,0,1,398,0,0,112000
120,NA,4438,6,5,205,848,0,848,1,0,1,1,3,1,2,420,149,0,149000
50,50,3500,5,7,0,720,564,1284,1,1,2,1,5,0,1,240,0,35,110000
20,99,11851,7,5,0,1442,0,1442,2,0,3,1,5,0,2,500,0,34,180500
20,40,13673,5,5,0,1696,0,1696,1,1,3,1,8,1,1,349,0,30,143900
20,NA,12493,4,5,0,1100,0,1100,1,0,3,1,6,1,1,312,355,0,141000
60,NA,14364,7,5,128,1180,882,2062,2,1,3,1,7,1,2,454,60,55,277000
20,75,8250,6,7,260,1092,0,1092,1,0,3,1,6,0,2,504,0,0,145000
30,67,5604,5,6,0,864,0,864,1,0,2,1,5,0,0,0,0,0,98000
20,83,10420,6,5,0,1212,0,1212,2,0,3,1,6,0,2,460,100,22,186000
60,72,8640,7,5,0,932,920,1852,2,1,3,1,7,1,2,644,168,108,252678
20,43,13568,5,5,0,990,0,990,1,0,3,1,5,0,2,576,224,0,156000
60,NA,10900,6,7,153,689,703,1392,1,1,3,1,6,0,1,299,0,36,161750
20,72,10011,5,6,64,1236,0,1236,1,0,2,1,6,1,1,447,0,0,134450
20,65,8450,7,5,266,1436,0,1436,2,0,3,1,8,0,2,484,139,98,210000
70,57,9906,4,4,0,810,518,1328,1,0,3,1,8,0,1,210,0,172,107000
50,NA,15660,7,9,312,1137,817,1954,1,1,3,1,8,2,2,431,0,119,311500
120,43,3010,7,5,16,1248,0,1248,2,0,2,1,5,0,2,438,108,0,167240
20,73,8990,7,5,0,1498,0,1498,2,0,2,1,5,0,2,675,351,33,204900
60,NA,8068,6,5,0,1010,1257,2267,2,1,4,1,8,1,2,390,120,46,200000
60,85,11475,6,6,0,811,741,1552,2,1,3,1,6,1,2,434,209,208,179900
20,70,10500,4,6,0,864,0,864,1,0,2,1,4,0,2,576,216,0,97000
20,103,13472,10,5,922,2392,0,2392,2,0,3,1,8,1,3,968,248,105,386250
160,21,1680,5,5,142,630,672,1302,2,1,3,1,6,0,1,280,0,0,112000
60,82,9950,7,5,290,1214,1306,2520,2,1,4,1,9,1,3,721,224,114,290000
160,21,1869,6,6,127,483,504,987,1,1,2,1,5,0,1,280,0,0,106000
20,70,8521,5,5,0,912,0,912,1,0,3,1,5,1,1,336,0,0,125000
120,43,3182,7,5,16,1555,0,1555,2,0,2,1,7,1,2,430,143,20,192500
20,73,8760,6,6,220,1194,0,1194,1,0,3,1,6,0,1,312,0,0,148000
60,174,15138,8,5,506,1490,1304,2794,2,1,4,1,9,1,3,810,0,146,403000
160,21,1680,6,5,297,483,504,987,1,1,2,1,5,1,1,288,0,0,94500
20,75,10650,5,6,0,894,0,894,1,0,3,1,5,0,1,308,365,0,128200
60,NA,7851,6,5,NA,860,1100,1960,2,1,4,1,8,2,2,440,288,48,216500
160,21,1680,6,3,604,483,504,987,1,1,2,1,5,0,1,264,0,0,89500
20,65,8773,7,5,98,1414,0,1414,2,0,3,1,6,0,2,494,132,105,185500
60,NA,9453,7,7,0,1014,730,1744,2,1,3,1,7,0,2,457,370,70,194500
20,93,12030,8,5,254,1694,0,1694,2,0,3,1,7,0,3,818,168,228,318000
50,52,8741,6,4,0,798,689,1487,1,1,3,1,7,1,1,220,0,140,113000
20,75,9000,8,5,36,1566,0,1566,2,0,3,1,7,0,2,750,144,168,262500
30,40,3880,5,9,0,866,0,866,1,0,2,1,4,0,0,0,58,42,110500
50,63,5000,5,4,0,889,551,1440,1,0,3,1,6,0,1,352,0,0,79000
160,75,10762,6,6,0,626,591,1217,1,1,3,1,6,1,1,288,0,28,120000
60,NA,8880,7,5,0,1222,888,2110,2,1,3,1,8,2,2,463,0,130,205000
20,80,10400,7,5,102,1872,0,1872,2,0,3,1,6,1,2,604,197,39,241500
190,69,9142,6,8,0,908,1020,1928,2,0,4,2,9,0,1,440,0,60,137000
20,75,11310,6,5,0,1375,0,1375,1,0,2,1,5,1,2,451,0,30,140000
60,72,11317,7,5,101,840,828,1668,2,1,3,1,8,0,2,500,144,68,180000
50,NA,159000,6,7,472,1444,700,2144,2,0,4,1,7,2,2,389,0,98,277000
30,55,5350,3,2,0,1306,0,1306,1,0,3,1,6,0,0,0,263,0,76500
120,44,4750,8,5,481,1625,0,1625,2,0,2,1,5,1,2,538,123,0,235000
60,65,8366,6,5,0,798,842,1640,2,1,3,1,6,0,2,520,138,45,173000
80,85,9350,6,7,108,1302,0,1302,2,0,3,1,7,0,1,309,333,0,158000
20,70,8400,5,6,0,1314,0,1314,1,0,3,1,5,0,1,294,250,0,145000
60,66,8738,7,5,302,1005,1286,2291,2,1,4,1,8,1,2,429,192,0,230000
60,64,8791,6,5,0,864,864,1728,2,1,3,1,7,0,2,673,216,56,207500
20,68,8814,7,5,180,1604,0,1604,2,1,3,1,8,1,2,660,123,110,220000
60,80,12435,7,5,172,963,829,1792,2,1,3,1,7,1,2,564,0,96,231500
20,70,12702,5,5,0,882,0,882,1,0,2,1,4,0,1,308,0,45,97000
80,120,19296,6,5,399,1382,0,1382,1,0,3,1,6,1,2,884,0,0,176000
60,69,9588,8,5,270,1482,1092,2574,2,1,3,1,10,1,3,868,0,148,276000
80,88,8471,6,7,46,1212,0,1212,1,0,3,1,6,1,2,492,292,12,151000
50,50,5500,5,7,0,926,0,1316,1,0,3,1,6,0,2,484,0,0,130000
30,30,5232,5,5,0,764,0,764,1,0,2,1,4,0,2,504,0,0,73000
20,78,12090,6,6,210,1422,0,1422,2,0,3,1,7,1,2,576,276,0,175500
60,70,11207,6,5,0,802,709,1511,2,1,3,1,8,1,2,413,95,75,185000
75,60,8400,5,8,0,1052,720,2192,2,1,4,1,8,1,1,240,262,24,179500
30,71,6900,5,6,0,778,0,778,1,0,2,1,4,1,1,924,0,25,120500
20,NA,7917,6,7,174,1113,0,1113,1,1,3,1,6,1,1,504,370,30,148000
60,84,10728,8,5,0,1095,844,1939,2,1,3,1,8,1,3,1053,192,51,266000
20,73,39104,7,7,0,1363,0,1363,1,0,2,1,5,2,2,439,81,0,241500
60,92,11764,8,7,348,1164,1106,2270,2,1,4,1,9,1,3,671,132,57,290000
20,80,9600,6,6,183,1632,0,1632,2,0,3,1,6,1,1,338,289,0,139000
20,76,8314,5,7,0,816,0,816,1,0,2,1,5,0,1,264,168,0,124500
50,55,7264,7,7,0,952,596,1548,2,1,3,1,5,0,2,672,74,0,205000
20,129,9196,7,5,0,1560,0,1560,2,0,3,1,7,0,2,573,100,150,201000
20,140,19138,4,5,0,864,0,864,1,0,2,1,4,0,2,400,0,0,141000
20,107,14450,9,5,315,2121,0,2121,2,1,3,1,8,1,3,732,124,98,415298
60,83,10005,7,5,299,1156,866,2022,2,1,4,1,8,1,2,505,288,117,192000
60,82,11287,7,6,340,1175,807,1982,2,1,3,1,7,1,2,575,0,84,228500
20,60,7200,6,5,68,1262,0,1262,2,0,2,1,5,0,2,572,0,120,185000
120,34,5063,7,5,166,1314,0,1314,2,0,2,1,6,1,2,626,172,62,207500
20,74,9612,8,5,72,1468,0,1468,2,0,3,1,6,1,3,898,210,150,244600
120,50,8012,6,5,0,1575,0,1575,2,0,2,1,5,0,2,529,0,0,179200
160,35,4251,7,5,0,625,625,1250,2,1,2,1,5,0,2,528,0,54,164700
50,77,9786,6,7,0,1085,649,1734,1,1,3,1,7,1,2,440,0,0,159000
20,NA,8125,4,4,0,858,0,858,1,0,3,1,5,0,0,0,0,0,88000
20,NA,9819,5,5,31,900,0,900,1,0,3,1,5,0,1,280,0,0,122000
70,60,8730,6,7,0,698,698,1396,1,0,3,1,7,0,1,384,0,0,153575
60,120,15611,8,5,0,1079,840,1919,2,1,3,1,8,1,2,685,0,51,233230
190,55,5687,5,6,0,936,780,1716,2,0,6,1,9,0,0,0,0,184,135900
50,60,11409,5,4,0,1148,568,1716,1,1,3,1,8,1,1,281,0,0,131000
60,NA,16659,7,7,34,1468,795,2263,2,1,3,1,9,1,2,539,0,250,235000
20,80,9600,6,5,238,1644,0,1644,1,0,3,1,7,2,2,418,110,0,167000
80,37,7937,6,6,0,1003,0,1003,1,0,3,1,6,0,2,588,120,0,142500
50,75,13710,5,5,0,910,648,1558,1,1,4,1,6,0,1,282,289,0,152000
60,66,7399,7,5,1600,975,975,1950,2,1,3,1,7,1,2,576,0,10,239000
60,90,11700,6,6,365,1041,702,1743,1,2,3,1,7,1,2,539,224,0,175000
20,80,14000,6,8,0,1152,0,1152,1,0,3,1,6,1,1,300,0,36,158500
190,90,15750,5,5,56,1336,0,1336,1,0,2,1,5,2,1,375,0,0,157000
60,66,16226,8,5,0,1210,1242,2452,2,1,4,1,9,1,2,683,208,50,267000
20,118,13704,7,5,150,1541,0,1541,2,0,3,1,6,1,3,843,468,81,205000
20,70,9800,5,7,0,894,0,894,1,0,3,1,5,0,2,552,256,0,149900
75,87,18386,7,9,0,1675,1818,3493,3,0,3,1,10,1,3,870,302,0,295000
20,80,10386,8,5,246,2000,0,2000,2,0,3,1,8,0,3,888,168,0,305900
60,116,13474,7,5,246,1122,1121,2243,2,1,4,1,8,1,3,746,127,44,225000
50,NA,7920,6,7,0,1035,371,1406,1,0,3,1,6,0,0,0,0,144,89500
30,NA,12342,4,5,0,861,0,861,1,0,1,1,4,0,2,539,158,0,82500
20,90,12378,9,5,0,1944,0,1944,2,0,3,1,8,3,3,708,208,175,360000
60,NA,7685,6,5,112,697,804,1501,2,1,3,1,6,1,2,420,190,63,165600
20,50,8000,6,6,0,972,0,972,1,0,2,1,5,1,1,240,0,0,132000
190,65,7800,5,7,0,793,325,1118,1,0,3,1,5,1,2,410,0,0,119900
